½ΊΕ³Έν	attribute	upgradable	check_range	target	range	requirement	condition	other_condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	special_status_arg	move_pos	update_factor	reflect_melee_attack	reflect_magic_attack	reflect_heroic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash	level_diff_type	detect	ride	game_effect	force	divide	resurrection	skill_union	target_restriction	disturb																																																																																																																																																																																																	
Abrahya Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Abrahya Lv 6																																																																																																																																																																																																																																																																	
Abrahya Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Abrahya Lv 7																																																																																																																																																																																																																																																																	
Abrahya Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Abrahya Lv 8																																																																																																																																																																																																																																																																	
Abrahya Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Abrahya Lv 9																																																																																																																																																																																																																																																																	
Abrahya Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon>Abrahya Lv 10																																																																																																																																																																																																																																																																	
Talisman of Awakening 100	10	2	2	100	1																																											2			1	3		1																																																																																																																																																																																																											
Talisman of Awakening 50p	10	2	2	100	1																																											2			1	3		1																																																																																																																																																																																																											
Talisman of Awakening 20	10	2	2	100	1																																											2			1	3		1																																																																																																																																																																																																											
Usus' Warning <1 day>	20010	2	2	111	201												19																																																																																																																																																																																																																																																
Usus' Warning <7 days>	20010	2	2	111	201												19																																																																																																																																																																																																																																																
Usus' Warning <30 days>	20010	2	2	111	201												19																																																																																																																																																																																																																																																
Remains of Ashtal	10	2	2	100	1															116																																																																																																																																																																																																																																													
<MOB> <Flame Knight> Intimidating Blow	23	2	1	1	202									101						10																																																																																																																																																																																																																																													
<MOB> <Flame Hunter> Disturb	23	2	1	1	202									101			3			10																																																																																																																																																																																																																																													
<MOB> <Flame Mage> Wretched Cold	23	2	1	1	202									103						10																																																																																																																																																																																																																																													
<MOB> <Flame Looter> Skill 1	23	2	1	101	304									101																10002																																																																																																																																																																																																																																			
<MOB> <Flame Extortioner> Skill 1	23	2	1	1	1304															10																																																																																																																																																																																																																																													
<MOB> <Cry of Fury> Skill 1	23	2	1	101	304									101			3			10																																																																																																																																																																																																																																													
<MOB> <Cry of Fury> Skill 2	23	2	1	1	1304		1000							101			1																																																																																																																																																																																																																																																
<MOB> <Bloodline Warrior> Lightning Rush	26	2	1	1	404									101					2	10																																																																																																																																																																																																																																													
<MOB> <Bloodline Scout> Diminishing Hex	26	2	1	1	2															10																																																																																																																																																																																																																																													
<MOB> <Bloodline Mage> Antimagic	40	2	1	1	202				1																		16																																																																																																																																																																																																																																						
<MOB> <Life Hunter> Skill 1	26	2	2	1	404															116																																																																																																																																																																																																																																													
<MOB> <Life Ambusher> Skill 1	26	2	1	101	304															10																																																																																																																																																																																																																																													
<MOB> <Cry of Silence> Skill 1	26	2	1	101	304															10																																																																																																																																																																																																																																													
<MOB> <Cry of Silence> Skill 2	26	2	1	1	1304									101																10002																																																																																																																																																																																																																																			
<MOB> <Storm Knight> Repress	10	2	1	1	202												15																																																																																																																																																																																																																																																
<MOB> <Storm Archer> Restrain	20	2	1	1	202												14																																																																																																																																																																																																																																																
<MOB> <Storm Mage> Typhoon	25	2	1	1	1304				5					103						10																																																																																																																																																																																																																																													
<MOB> <Blade Inspector> Skill 1	25	2	1	101	304				4					103						116												1																																																																																																																																																																																																																																	
<MOB> <Blade Robber> Skill 1	25	2	1	1	1304		1000							101			1																																																																																																																																																																																																																																																
<MOB> <Cry of Pain> Skill 1	25	2	2	101	304															116																																																																																																																																																																																																																																													
<MOB> <Cry of Pain> Skill 2	25	2	1	1	1304				4					103						116												1																																																																																																																																																																																																																																	
<MOB> <Lord of Heaven's Hell> Skill 1	22	2	1	1	1304		1000							101			1																																																																																																																																																																																																																																																
<MOB> <Lord of Heaven's Hell> Skill 2	22	2	1	101	304															10																																																																																																																																																																																																																																													
<MOB> <Lord of Heaven's Hell> Skill 3	22	2	1	1	404				4					103						116												1																																																																																																																																																																																																																																	
<MOB> <Arch Demon> Skill 1	22	2	1	1	1304		1000							101			1																																																																																																																																																																																																																																																
<MOB> <Arch Demon> Skill 2	22	2	1	1	1304															10																																																																																																																																																																																																																																													
<MOB> <Arch Demon> Skill 3	22	2	1	1	1304				4					103						116												1																																																																																																																																																																																																																																	
<MOB> <Arch Demon> Skill 4	40	2	1	1	202				1																		16																																																																																																																																																																																																																																						
Ashtal's Energy Lv. 1	10	2	2	101	201																																															1																																																																																																																																																																																																													
Ashtal's Energy Lv. 2	10	2	2	101	201																																															1																																																																																																																																																																																																													
Ashtal's Energy Lv. 3	10	2	2	101	201																																															1																																																																																																																																																																																																													
Ashtal's Energy Lv. 4	10	2	2	101	201																																															1																																																																																																																																																																																																													
Ashtal's Energy Lv. 5	10	2	2	101	201																																															1																																																																																																																																																																																																													
Ashtal's Energy Lv. 6	10	2	2	101	201																																															1																																																																																																																																																																																																													
Ashtal's Energy Lv. 7	10	2	2	101	201																																															1																																																																																																																																																																																																													
Ashtal's Energy Lv. 8	10	2	2	101	201															10																																4																																																																																																																																																																																																													
Frenzied 2	10	2	2	100	1		1000													10																												2				7		1																																																																																																																																																																																																											
Wishing Candle	10	2	2	100	1															116																																																																																																																																																																																																																																													
Revin Lv. 1	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon> Revin Lv. 1																																																																																																																																																																																																																																																																	
Revin Lv. 2	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon> Revin Lv. 2																																																																																																																																																																																																																																																																	
Revin Lv. 3	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon> Revin Lv. 3																																																																																																																																																																																																																																																																	
Revin Lv. 4	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon> Revin Lv. 4																																																																																																																																																																																																																																																																	
Revin Lv. 5	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon> Revin Lv. 5																																																																																																																																																																																																																																																																	
Revin Lv. 6	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon> Revin Lv. 6																																																																																																																																																																																																																																																																	
Revin Lv. 7	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon> Revin Lv. 7																																																																																																																																																																																																																																																																	
Revin Lv. 8	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon> Revin Lv. 8																																																																																																																																																																																																																																																																	
Revin Lv. 9	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon> Revin Lv. 9																																																																																																																																																																																																																																																																	
Revin Lv. 10	210	2	2	100	1															10	12			4																						8		2						1					1																																																																																																																																																																																																						
<Summon> Revin Lv. 10																																																																																																																																																																																																																																																																	
<Title> Advanced Knight	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Advanced Archer	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Advanced Mage	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Embodiment of Magic	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Embodiment of Fire	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Embodiment of Air	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Embodiment of Water	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Embodiment of Earth	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Ugdrasil's Nectar	10	2	2	100	1		1000							106						116																																																																																																																																																																																																																																													
<Title> Dikain's Nectar	10	2	2	100	1															116																																3																																																																																																																																																																																																													
<Title> Gracia's Nectar	10	2	2	100	1															116																																																																																																																																																																																																																																													
<Title> Zian's Nectar	10	2	2	100	1															116																																																																																																																																																																																																																																													
<Title> Syripus' Nectar	10	2	2	100	1															116																																12																																																																																																																																																																																																													
<Title> Novice Knight	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Apprentice Warrior	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Novice Archer	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Apprentice Archer	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Novice Mage	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Apprentice Mage	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Mightthesis' Energy	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Mightthesis' Touch	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Mightthesis' Protection	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Mightthesis' Blessing	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Mightthesis' Endurance	10	2	2	100	1															116																																		1																																																																																																																																																																																																											
<Title> Energy of the Dragon	10	2	2	100	1															116																																1																																																																																																																																																																																																													
Scion's Blessing	10	2	2	100	1																																											2			1	1		1																																																																																																																																																																																																											
Iron Shield	9	1	2	111	1	3														10																																																																																																																																																																																																																																													
Justice of Battle	1	1	1	1	2	1								101																											1																																																																																																																																																																																																																								
Shield of the Front	10	1	2	100	303	1														10																					2																																																																																																																																																																																																																								
Martyr's Retribution	1	1	1	1	1404	1								101																											1																																																																																																																																																																																																																								
Forced March	9	1	2	111	1	3														10																																																																																																																																																																																																																																													
Strike of Judgment	21	1	1	1	2	1								101					3																						2																						1																																																																																																																																																																																																		
Righteous Smite	21	1	1	1	1304	1	1000							101						10																					2																																																																																																																																																																																																																								
Righteous Smite <Additional Effect>	20	1	1	1	1304	1											25			10																																												2																																																																																																																																																																																																	
Brilliant Spirit	10	1	2	110	1	1														10																					2																																																																																																																																																																																																																								
Terrifying Nemesis	21	1	1	1	2	1	1000							101						10																					2																																																																																																																																																																																																																								
Terrifying Nemesis <Additional Effect>	20	1	1	1	2	1											20			10																																												10																																																																																																																																																																																																	
Inexorable Strike	21	1	1	1	2	1								101			18																								2																																																																																																																																																																																																																								
Slight of Bow	9	1	2	111	1	11														10																																																																																																																																																																																																																																													
Biting Strike	1	1	1	1	1304	1								101																											1																																																																																																																																																																																																																								
Bow of Meditation	40	1	1	111	201	1											0	23;24									64														2																							1002																																																																																																																																																																																																	
Ghost on the Arrow	1	1	1	1	1404	1								101																											1																																																																																																																																																																																																																								
Illusion Stride	9	1	2	111	1	11														10																																																																																																																																																																																																																																													
Scorpion Trap	21	1	1	1	1304	1	1000							101			20			10																					2																							10																																																																																																																																																																																																	
Cloud of Arrows	21	1	1	1	1304	1	1000							101			21			10																					2																							11																																																																																																																																																																																																	
Archer's Eye	10	1	2	111	303	1											5001			10																					2																																																																																																																																																																																																																								
Intimidating Blow	21	1	1	1	1404	1	1000							101			24			10																					2																							2																																																																																																																																																																																																	
Hurricane of Death	21	1	1	1	2	1			2					103						10										10003		1									1																																																																																																																																																																																																																								
Magical Tradition	9	1	2	111	1	9														10																																																																																																																																																																																																																																													
Lance of Lightning	1	1	1	1	1404	1								101																											1																																																																																																																																																																																																																								
Radiant Vision	10	1	2	110	1	1														10																					2																																																																																																																																																																																																																								
Titan Crusher	1	1	1	1	1304	1								101																											1																																																																																																																																																																																																																								
Iron Staff	9	1	2	111	1	9														10																																																																																																																																																																																																																																													
Storm Bite	21	1	1	1	1304	1	1000							101			25			10																					2																							2																																																																																																																																																																																																	
Dread Assault	21	1	1	1	1304	1	1000							101			22			10																					2																							15																																																																																																																																																																																																	
Spiral Vision	10	1	2	100	303	1														10																					2																																																																																																																																																																																																																								
Black Staff Disease	21	1	1	1	304	1	1000							101			23			10																					2																																																																																																																																																																																																																								
Soul Bane	21	1	1	1	2	1								101						10																					2																																																																																																																																																																																																																								
Terrible Scale	9	1	2	111	1	1														10																																																																																																																																																																																																																																													
Cruel Slash	1	1	1	1	2	1								101																											1																																																																																																																																																																																																																								
Battle Focus	10	1	2	100	303	1														10																					2																																																																																																																																																																																																																								
Violent Crusher	1	1	1	1	304	1								101																											1																																																																																																																																																																																																																								
Insane Howling	9	1	2	111	1	1														10																																																																																																																																																																																																																																													
Frightful Sight	21	1	1	1	2	1	1000							101			22			10																					2																							15																																																																																																																																																																																																	
Forced Battle	21	1	1	1	2	1								101					3																						2																						1																																																																																																																																																																																																		
Indomitable Soul	10	1	2	100	303	1														10																					2																																																																																																																																																																																																																								
Cry of Disorder	21	1	1	1	304	1	1000							101			21			10																					2																							11																																																																																																																																																																																																	
Ultimate Rage	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Nimble Mobility	9	1	2	111	1	12														10																																																																																																																																																																																																																																													
Acrobatic Shot	1	1	1	1	1304	1								101																											1																																																																																																																																																																																																																								
Dangerous Position	10	1	2	100	303	1														10																					2																																																																																																																																																																																																																								
Tricky Shot	1	1	1	1	1404	1								101																											1																																																																																																																																																																																																																								
Bloody Walk	9	1	2	111	1	12														10																																																																																																																																																																																																																																													
Painting Attack	21	1	1	1	1304	1	1000							101			21			10																					2																							11																																																																																																																																																																																																	
Crimson Eye	21	1	1	1	1304	1	1000							101			24			10																					2																							2																																																																																																																																																																																																	
Enemy Bane Stance	10	1	2	100	303	1											5001			10																					2																																																																																																																																																																																																																								
Shrinking Snake Shot	21	1	1	1	1404	1	1000							101			25			10																					2																							2																																																																																																																																																																																																	
Exquisite Pain	10	1	1	100	303	1														10																					2																																																																																																																																																																																																																								
Nightmare Vision	9	1	2	111	1	10														10																																																																																																																																																																																																																																													
Soul Burn	1	1	1	1	1304	1								101																											1																																																																																																																																																																																																																								
